Year,TASK,Preprocessing_Techniques
2023,topic recommendation,not specified
2023,topic recommendation,remove repositories with no README/descriptions/topics
2023,topic recommendation,Convert plural forms to singular
2023,topic recommendation,abbreviation expansion
2023,topic recommendation,merge a set of related topics to a larger concept by using the mapping
2023,topic recommendation,remove nonalphanumeric characters
2023,topic recommendation,abbreviation expansion
2023,topic recommendation,exclude repositories in which more than half of their documents contain non-English characters
2023,topic recommendation,tokenization
2023,topic recommendation,Remove stop words
2023,topic recommendation,Split tokens
2023,repositories classification,not specified
2023,repositories classification,not specified
2023,repositories classification,not specified
2022,repositories classification,Remove HTML and Markdown tags
2022,repositories classification,Remove white space
2022,topic recommendation,remove nonalphanumeric characters
2022,topic recommendation,Stemming
2022,topic recommendation,Remove versionings
2022,topic recommendation,Remove digits at the end of a topic
2022,topic recommendation,abbreviation expansion
2022,topic recommendation,alias substitution
2022,topic recommendation,Split tokens
2022,topic recommendation,Remove stop words
2022,topic recommendation,Stemming
2022,topic recommendation,Lemmatize
2022,topic recommendation,Remove infrequent topics 
2022,topic recommendation,Remove stop words
2022,topic recommendation,Stemming
2022,repositories clustering,Convert tokens to lower case
2022,repositories clustering,Remove stop words
2022,repositories clustering,remove nonalphanumeric characters
2022,repositories clustering,store each processed file in the form of text file
2022,mannual repositories classification,not specified
2022,topic recommendation,merge a set of related topics to a larger concept by using the mapping
2022,topic recommendation,Split tokens
2022,topic recommendation,Convert tokens to lower case
2022,topic recommendation,Remove common Java terms
2022,topic recommendation,Lemmatize
2022,topic recommendation,Split tokens
2021,topic recommendation,Remove versionings
2021,topic recommendation,Remove digits at the end of a topic
2021,topic recommendation,Extract the most frequent topics from the rest of user-defined topics
2021,topic recommendation,Convert plural forms to singular
2021,topic recommendation,Replace abbreviations
2021,topic recommendation,Remove stop words
2021,topic recommendation,Lemmatize
2021,topic recommendation,Aggregate topics
2021,topic recommendation,remove nonalphanumeric characters
2021,topic recommendation,abbreviation expansion
2021,topic recommendation,Remove abstract concepts
2021,topic recommendation,Split tokens
2021,topic recommendation,Convert tokens to lower case
2021,topic recommendation,Remove stop words
2021,topic recommendation,Lemmatize
2021,topic recommendation,Remove tokens with a frequency 
2021,topic recommendation,Split the project name into the owner and the repository name.
2021,topic recommendation,remove nonalphanumeric characters
2021,topic recommendation,Split tokens
2021,topic recommendation,tokenization
2021,topic recommendation,Remove tokens with a frequency 
2021,topic recommendation,Remove stop words
2021,topic recommendation,Lemmatize
2021,topic recommendation,Remove HTML and Markdown tags
2021,topic recommendation,Remove stop words
2021,topic recommendation,Stemming
2021,repositories classification,Split tokens
2021,repositories classification,Remove common Java terms
2021,repositories classification,Convert tokens to lower case
2021,repositories clustering,Convert tokens to lower case
2021,repositories clustering,Remove stop words
2021,repositories clustering,remove nonalphanumeric characters
2021,repositories clustering,store each processed file in the form of text file
2021,repositories classification(document classifcation),not specified
2021,repositories clustering,remove nonalphanumeric characters
2021,repositories clustering,Remove stop words
2021,repositories classification,not specified
2021,mannual repositories classification,not specified
2020,topic recommendation,Remove infrequent topics 
2020,topic recommendation,Remove irrelevant topics
2020,topic recommendation,Remove stop words
2020,topic recommendation,Stemming
2020,topic recommendation,Lemmatize
2020,topic recommendation,Remove stop words
2020,,Stemming
2020,,Lemmatize
2020,topic recommendation,Remove irrelevant repositories
2020,,Split tokens
2020,,remove nonalphanumeric characters
2020,,remove special characters
2020,,Remove? white?space
2020,,Remove English? empty ?words?
2020,,Remove non-Latin?characters
2020,,Stemming
2020,,Remove tokens with a frequency 
2020,topic recommendation,not specified
2020,repositories classification,not specified
2019,repositories classification,not specified
2018,repositories classification,exclude documentations and HTML files
2018,repositories classification,Remove programming language keywords
2018,repositories classification,Remove stop words
2018,repositories classification,Split tokens
2018,repositories classification,Remove most and least frequent terms
2018,repositories classification,extract strings from its .rsrc section
2018,,remove non-literal characters
2018,,Remove stop words
2018,repositories classification,Convert tokens to lower case
2018,,Split tokens
2018,,convert non-word symbols e.g. brackets and commas to spaces
2018,mannual repositories classification,not specified
2017,repositories classification,tokenization
2017,repositories classification,Remove stop words
2017,repositories classification,Stemming
2017,repositories classification,Lemmatize
2017,repositories classification,not specified
2017,repositories classification,broke it into smaller words and normalized them
2017,repositories classification,Remove stop words
2017,repositories classification,Split tokens
2016,topic recommendation,Remove code fragments from documents
2016,topic recommendation,Remove stop words
2016,topic recommendation,remove special characters
2015,repositories classification,Split tokens
2015,repositories classification,Remove stop words
2015,repositories classification,Stemming
2014,topic recommendation,Stemming
2014,topic recommendation,eliminate those repositories that have very few tags 
2014,topic recommendation,remove those idiosyncratic or misspelling tags
2014,mannual repositories classification,not specified
2013,repositories classification,Remove stop words
2013,repositories classification,Stemming
2013,repositories classification,retain projects which have combined descriptions of more than 10 words
2013,repositories classification,Remove tokens with a frequency 
2012,topic recommendation,Stemming
2012,topic recommendation,remove those idiosyncratic or misspelling tags
2012,repositories classifciation,extract terms from methods and packages
2012,repositories classifciation,Split tokens
2009,topic recommendation,Split tokens
2009,topic recommendation,remove non-literal characters
2009,topic recommendation,remove keywords
2004,topic recommendation,exclude Reserved word
2004,topic recommendation,cut out comments
2004,topic recommendation,Remove most and least frequent terms
2002,repositories classification,Split tokens
2002,repositories classification,Remove most and least frequent terms
2002,repositories classification,remove non-alphabetical character
2002,repositories classification,extraxt single words /bigrams and lexicai phrases
